video-frame,media_orizzontale0,media_verticale0,media_orizzontale1,media_verticale1,media_orizzontale2,media_verticale2,media_orizzontale3,media_verticale3,media_orizzontale4,media_verticale4,media_orizzontale5,media_verticale5,media_orizzontale6,media_verticale6,media_orizzontale7,media_verticale7,media_orizzontale8,media_verticale8,media_orizzontale9,media_verticale9,target
7_2_2_18_30_2_m,5.276851,6.2172775,8.3683405,0.7952211,3.54697,-4.7415495,4.194575,-5.0752053,-2.7013104,-4.8073006,-1.4404585,-4.239475,3.8199794,-1.7257054,5.880171,-4.6476297,5.2318788,-4.034832,3.5180511474609375,-6.001228332519531,7
7_1_2_9_30_3_m,11.521229,4.6747813,-12.995713,59.849403,-28.834555,66.42451,-6.2211165,58.710426,12.967931,57.61051,-27.185125,76.8993,-21.686504,39.556343,-17.960884,32.3221,-23.51798,32.114925,-23.69559097290039,31.554590225219727,7
7_1_1_15_30_5_m,-1.860847,-5.854088,-3.4099095,-11.499833,-13.946861,-17.558884,-6.545556,-15.467249,4.464364,-13.369441,-2.6647623,-12.504848,1.4469646,-14.463987,-5.898769,-15.062948,-2.7243292,-11.860616,-16.704505920410156,-12.438277244567871,7
7_1_1_10_30_2_m,0.98704726,8.6679,-0.57758856,15.885646,1.5175033,-17.163282,5.769305,-9.844581,-0.112654105,-5.4210114,3.8415513,9.877671,1.3063434,6.6136665,-10.659764,8.429516,-5.5308676,9.71859,6.163203239440918,9.238872528076172,7
7_1_1_17_30_4_m,1.1789173,-9.556909,-0.24706271,-11.309797,-1.5097708,-19.351711,-4.522646,-10.176285,-4.259189,-9.447229,-1.99988,-4.819336,0.40193087,-5.931322,-3.5226698,-9.383914,4.591958,-19.34808,10.68008041381836,-16.30067253112793,7
7_2_2_5_30_3_m,9.128965,-6.023038,8.225248,-18.57318,15.071995,-17.682138,11.621252,-20.506945,-9.749431,-10.599778,0.97024983,-6.7849255,7.8593154,-3.6769452,0.70722145,-9.1232,2.3980286,-15.041048,13.136809349060059,1.106834888458252,7
7_1_1_10_30_3_m,4.9380355,5.2992916,0.9839221,0.58610845,-0.76486856,1.359331,4.603759,6.964932,8.638076,5.7257085,0.99774396,2.1469617,-3.4679136,0.56545866,-0.2157723,7.2000947,4.9214597,4.1710534,7.748392105102539,1.8686398267745972,7
7_2_2_12_30_1_m,-15.6402235,-31.628702,-14.235549,-12.704551,-13.323311,-40.082016,-14.902994,-68.301155,-20.85345,-50.238224,-15.64602,-51.84536,-25.817156,-37.483246,-12.83536,-59.158752,-6.5721173,-52.38976,-27.93573570251465,-41.300926208496094,7
7_1_1_15_30_2_m,15.650001,6.673907,13.536768,-1.5675464,7.9776382,-3.5986612,4.794066,-9.052545,0.08746511,-6.0809402,-11.070911,-7.158479,-9.041793,-4.2666183,-4.0972548,-5.9322686,3.7612052,5.664911,5.171473503112793,-2.0285418033599854,7
7_1_1_17_30_1_m,-0.06031653,0.22978465,3.4694617,-3.207203,11.450185,-5.6510344,3.462202,-2.3044145,0.22414027,0.061928,0.07537034,0.47061494,-0.41194537,0.8652803,0.88825434,1.6328447,-0.22251181,0.51713866,-0.4194897711277008,0.7621092200279236,7
7_2_2_13_30_2_m,-69.62339,5.487167,-60.024982,13.422342,-15.299106,-9.026312,-14.459255,-24.908161,-1.9390972,3.5141625,12.911664,-7.9052324,-10.401862,-6.3069706,-22.047897,-5.017552,-21.359121,-1.6993458,-27.416902542114258,-1.240485429763794,7
7_1_2_17_25_2_m,5.2135344,-2.888689,0.14117058,0.22245926,5.3597307,-7.6730933,-4.7744503,-8.355979,4.7194223,-5.918177,-3.4255843,-15.951074,0.39265022,-1.7292295,-4.7510843,-5.81216,0.21522568,-5.3235807,5.718852519989014,-3.4066529273986816,7
7_2_2_8_30_5_m,-4.2337713,-23.922777,2.702635,-21.885717,-0.17139488,-15.943781,13.616047,-20.25824,13.688489,-20.335718,2.8817635,-34.880875,2.108501,-25.627401,-10.608874,-41.117393,-4.5299554,-31.559961,-3.8154900074005127,-15.811843872070312,7
7_1_1_10_30_4_m,-7.3466783,-7.8538074,11.567729,-1.8917542,-0.6555897,-1.541226,-7.5026875,7.9054418,-5.032485,-7.3969665,-19.650766,4.370115,4.0377812,-2.691395,-2.7142062,1.3288308,-7.49126,1.3508204,-6.830383777618408,2.5217323303222656,7
7_1_1_17_30_2_m,12.522414,14.169901,20.554174,9.851452,6.9235177,15.268813,9.746344,20.12012,10.360861,11.618437,8.845426,8.844871,-0.38549793,3.521414,8.799804,5.5101986,13.650397,11.669238,11.26108455657959,12.112314224243164,7
7_2_2_10_24_5_m,-9.601343,15.57823,-7.528467,8.338509,8.816711,1.7383957,12.952488,-3.3926997,9.686499,1.1006949,7.401809,-4.032782,8.188588,-4.4323626,7.1857843,0.37962,0.18144405,-2.4181542,5.438952445983887,1.6455457210540771,7
7_1_2_7_30_5_m,5.5649047,21.866459,-16.966507,15.679081,-17.37125,25.32947,-12.170657,15.847726,-1.7973052,24.036463,-6.604349,30.374353,-10.876558,10.698386,-12.191902,6.5337696,-5.8332915,17.105804,-22.330766677856445,2.0478715896606445,7
7_2_2_12_30_5_m,-28.062435,-26.26731,-39.33784,-30.491426,-14.598837,-12.204295,-6.174578,-45.776043,-21.414589,-11.987815,-28.255676,-29.411028,-26.581434,-17.37,-13.865747,-24.656862,-35.096287,-30.75919,-16.184951782226562,-15.321995735168457,7
7_2_2_12_30_3_m,18.412018,-2.5432596,-63.21562,-27.967165,-27.846678,-41.81584,-39.653786,-34.19866,-55.490505,-43.946133,-84.86273,-41.205887,-75.44113,-19.59149,-3.8026376,-27.755533,-50.026207,-31.64123,-47.400726318359375,-25.308347702026367,7
7_2_2_8_30_3_m,8.280613,-8.820134,9.87243,-5.591362,8.641469,-8.769148,4.524618,-7.990511,7.390695,-4.3652406,-2.0311532,-10.385314,-2.7482774,-17.589458,14.363217,-11.087179,13.467565,-6.634205,13.72858715057373,-14.741610527038574,7
7_2_2_10_24_3_m,-11.892095,6.7262053,-17.383669,14.8185215,-11.376159,5.255227,-14.13764,12.686701,-13.850745,4.697356,-6.7479753,4.1820645,-6.9090343,2.4119225,-0.44219118,5.237023,-7.0996003,11.780772,-14.530423164367676,5.497828960418701,7
7_2_2_12_30_2_m,-7.405122,-0.8637069,-18.449337,3.3132653,-7.433901,-23.142569,-11.135365,-20.419563,-12.5705185,-13.82432,3.7316012,2.1645868,13.200596,16.840305,44.18525,4.3349557,6.1850786,4.0216856,6.033825397491455,-10.441617965698242,7
7_2_2_13_30_1_m,2.3478038,7.2886825,-0.8446732,14.094281,-0.8446732,14.094281,-0.8446732,14.094281,-35.59438,-1.9429177,-38.552486,1.2837765,-38.775005,2.7683969,-32.98273,-5.5055356,-32.66816,9.3197975,-23.703344345092773,30.119770050048828,7
7_1_1_10_30_5_m,2.9125423,-19.707275,7.9480987,-5.303241,6.0067496,-15.886997,2.723217,-23.401018,-3.8801546,-11.424764,-7.2732406,12.820507,-3.0088627,-2.198135,10.693119,-2.7470584,1.806218,-11.415979,-8.07335090637207,-7.097127914428711,7
7_2_2_13_30_5_m,5.5232797,8.469044,10.969465,8.272909,-3.0209146,-0.99202067,17.993164,3.740945,8.880073,3.0330918,5.762931,-7.5113053,29.6879,1.4405178,26.926044,0.7512078,29.305506,-2.9982047,16.9296932220459,8.880237579345703,7
7_2_2_8_30_2_m,-4.471426,29.795122,-1.4716834,23.990421,-1.5137589,14.701138,-10.371717,16.501476,-1.7974554,27.487968,-17.125374,18.784292,-23.905027,9.569032,-30.967928,24.302708,-22.794943,33.968853,-2.965111494064331,18.938827514648438,7
7_1_1_17_30_5_m,4.1918793,0.9614114,0.030572414,5.2431436,-1.9999564,4.060031,-1.9704933,0.8156547,-0.5314823,-4.7569795,2.1382484,-3.803228,-1.3295307,5.815728,1.3324964,2.205202,7.761859,-5.344821,6.115303039550781,0.5921970009803772,7
7_1_1_15_30_4_m,2.0433886,-0.4731332,-2.602807,4.786972,-16.520205,9.28831,-31.905865,6.496803,-45.72001,-3.9706643,-40.792137,1.05735,-38.42527,5.3030634,-32.15413,9.150636,-33.269917,3.9617727,-25.2884464263916,6.611869812011719,7
7_1_1_10_30_1_m,2.5497198,-6.8127933,1.6946281,3.7833025,-6.2037945,6.140925,-3.4783833,-0.94098294,-0.6290969,-2.2917583,-3.9237368,2.0491269,5.083531,7.7208266,5.5816364,-11.629133,5.780379,-9.906789,4.626414775848389,-9.394229888916016,7
7_2_2_5_30_2_m,6.697882,13.496186,23.781761,10.417992,-1.1249028,19.756742,11.377265,11.181531,5.0503983,14.547496,9.277379,21.02025,4.222197,18.709026,16.65742,15.773644,6.1406426,17.752565,3.2233755588531494,15.536922454833984,7
7_2_2_13_30_4_m,-1.788761,-2.3261755,-3.1457188,2.9203951,-13.365711,3.4674103,-13.626703,-2.4709358,-14.268921,-8.137397,-17.079273,-14.036432,-13.527884,-8.83332,3.88085,-14.6916065,1.3792982,-8.308273,-4.2002997398376465,-3.507955312728882,7
7_2_2_10_24_4_m,22.218637,-23.172785,16.754597,-22.238647,5.6222773,-32.21643,11.8859625,-5.299149,4.8737683,-9.103699,15.710105,-15.129785,14.770355,-26.141499,-6.644083,-19.399433,-4.043981,-20.068373,4.2171831130981445,-10.694913864135742,7
7_2_2_5_30_4_m,-1.7690951,14.928819,1.8210186,23.367178,-2.6840065,9.72481,-0.7457233,19.00415,-1.4503044,21.543653,1.128639,-3.008565,4.719941,15.207076,3.2767532,27.339905,10.673263,2.0063417,3.01916766166687,12.606255531311035,7
7_2_2_13_30_3_m,3.8831851,4.8670955,8.69644,2.8560014,4.9974046,7.968761,-8.234927,5.9577994,-3.0418763,12.8443,-3.7789023,15.450587,-0.1668996,12.429739,-0.8181936,10.184648,6.7841897,19.067133,-0.20658697187900543,21.730844497680664,7
7_1_2_17_25_3_m,2.50439,-4.6443877,-8.095338,-0.421956,1.3455896,3.5682995,-4.025878,3.2152946,-2.0115674,-0.11811693,-6.1269817,-4.2700644,-6.0094285,-11.280319,4.4866548,-0.027554883,-3.4490728,10.500154,-0.17085345089435577,-0.8121614456176758,7
7_1_1_17_30_3_m,-1.4218801,-8.829533,-7.4595137,-8.660019,5.2775326,-8.902998,8.437238,-6.3183994,3.2980917,-8.107542,6.909996,-6.813834,20.255177,-0.2870909,2.5010898,-1.4231337,11.18228,-4.6679945,11.94442081451416,-4.541271209716797,7
7_2_2_8_30_1_m,5.1964016,14.289617,18.767372,0.9564356,-1.1595144,-16.64491,-2.3986673,9.810995,-3.676132,-3.5858464,-24.364525,-41.209038,34.858288,-12.580744,55.967564,-2.1591697,43.65302,-4.4730215,27.24686050415039,-2.2361671924591064,7
7_1_2_7_30_4_m,0.54366595,27.610294,8.652901,8.523054,12.49669,8.986089,11.761416,10.718672,13.060382,21.094286,10.436518,3.422579,2.2364187,-7.3506813,3.884719,0.5099443,8.242204,-4.406782,1.6186796426773071,-6.853474140167236,7
7_1_1_15_30_3_m,-7.260179,16.071938,-11.359567,12.119428,-9.858222,16.165087,-12.4007435,19.248297,-14.8303385,15.720428,-16.685307,14.1626,-12.217013,10.857018,-11.834594,5.9857745,-15.426328,14.187334,-13.13016128540039,10.849395751953125,7
7_1_2_17_25_1_m,0.20453885,-8.738995,-2.4292743,8.407563,3.3304498,-2.4920747,0.044018686,-12.1627655,0.38510546,-10.038512,-9.09322,-18.866125,9.986126,0.071757585,1.5854454,-9.20622,5.690852,-7.1857467,6.683529853820801,-2.831827402114868,7
7_2_2_5_30_1_m,1.3127804,-11.384944,-1.1604019,-1.8672488,3.5544562,-3.8068335,2.9946206,-5.722473,2.4383266,4.854985,-10.047534,5.7706356,-11.24072,5.3373446,-2.557974,-0.7362523,-2.713104,-8.832909,-2.654895067214966,1.2501628398895264,7
7_1_1_15_30_1_m,-3.4012806,13.232335,1.8081844,11.950883,3.7617893,14.891357,5.1827006,3.425695,9.279006,4.577697,0.64185625,10.615099,5.692563,7.3144693,-3.2672498,11.997298,0.83052623,11.606994,-5.445550918579102,5.311032772064209,7
7_2_2_12_30_4_m,3.9488804,-36.586803,19.668346,-30.176844,17.82384,-31.59133,14.738211,-42.954147,16.864931,-45.61199,-6.915226,-31.806692,-18.411438,-28.665806,-43.50134,-43.6972,-54.57736,-8.33303,-32.19212341308594,-26.095022201538086,7
7_2_2_8_30_4_m,-3.3792107,-8.905234,-2.8777235,-6.7663097,-8.892651,-1.201215,-6.031498,-4.2080393,-14.157313,-1.3865695,-8.9400015,-8.700991,-15.694247,1.3013203,-21.807749,3.3036985,-8.993836,8.004123,-4.008944988250732,-1.6082074642181396,7
7_1_2_17_25_4_m,3.4260044,26.31546,5.9248123,40.5365,-1.2011057,49.0028,1.2319763,52.71299,1.2858516,55.945442,3.0844488,45.28235,5.322235,25.91164,1.8499466,50.220425,4.9067063,54.77387,8.744668960571289,38.42601776123047,7
7_1_2_17_25_5_m,-9.424794,11.2221365,-11.157901,11.80839,-13.622503,-6.579869,-3.5577593,-8.0046215,-5.749903,6.057944,-5.6486473,-2.6673374,-2.6117232,-2.5828724,-6.5504546,2.6630147,-1.596054,-2.895725,0.4429321587085724,-5.804849147796631,7
2_2_2_18_30_2_m,-2.457595,14.4059925,-10.198791,7.359922,-2.3329833,8.903416,-5.3038497,24.175503,-0.821242,31.833055,-1.5497832,3.2250972,-13.48204,8.918844,-17.177229,19.594378,-27.582613,21.220089,3.022381067276001,27.592029571533203,2
2_2_2_2_24_2_m,-0.01285692,0.78570956,0.2627793,1.0205079,-0.04650356,0.9520738,0.6949822,-0.40094072,-0.0047425237,-1.4552808,1.35447,-3.1873896,0.7985542,-0.37184212,0.20682153,0.628768,-0.32566527,0.564738,0.27307623624801636,0.3956143856048584,2
2_2_2_2_24_3_m,-1.1475445,0.36193705,-3.4792516,-0.50784355,-2.8216612,-0.3965801,-1.054179,-0.16775471,-2.1189647,-0.38873723,-1.1487592,-0.356655,-2.4311275,-0.39508754,-3.6775954,0.6930913,-1.3875608,0.11578557,-1.5909007787704468,-1.258141279220581,2
2_2_2_26_30_3_m,-10.734758,-22.74576,-1.459496,-13.548859,-10.481676,-17.162115,-9.350412,-22.771433,-11.666684,-19.762398,-5.8388433,-23.202444,2.1570737,-22.457047,-1.5311823,-28.765905,-0.5671917,-17.833582,-14.47767162322998,-34.375267028808594,2
2_2_2_26_30_1_m,6.093751,45.356537,-1.6029129,45.389874,9.897714,15.85624,8.391495,43.44289,-9.815865,22.139153,28.260649,59.65164,6.68172,45.423805,-6.243157,25.231205,-5.691549,24.67074,-1.9582390785217285,28.688093185424805,2
2_2_2_12_25_3_m,-0.24411798,-9.003652,-0.010255007,1.4419504,-3.9389715,-1.2271055,2.3711174,10.080686,-8.427983,-2.8508985,2.5146344,-5.7066855,4.1962233,-7.8367867,-0.25461775,-1.9080068,2.879781,-1.3682964,6.140037536621094,-2.3511312007904053,2
2_2_2_18_30_1_m,3.5430114,17.606207,-5.3081365,21.389454,-3.55416,-4.4694157,-8.571525,-1.1187879,-7.0619345,-13.408957,0.12905748,11.478448,-4.294825,7.24037,-4.047046,-9.7205925,-3.4226456,6.3960342,-6.469425201416016,14.794417381286621,2
2_2_2_12_25_1_m,-9.453714,28.258242,-3.956967,10.434963,-15.960139,23.798677,-28.80069,13.675626,-35.83153,28.421762,-27.609596,20.324316,-21.02317,17.615698,-12.524022,22.065405,-22.378366,15.581081,-18.81935691833496,21.373300552368164,2
2_2_2_26_30_4_m,-6.7344346,16.286453,-1.6949725,2.097801,-9.908234,27.086138,0.7295854,17.197792,-20.498766,-2.033242,4.4997964,15.00348,-1.5850334,5.7842875,3.0027387,12.637801,-1.7509545,20.035337,-26.859529495239258,-4.229605197906494,2
2_2_2_12_25_4_m,-2.5904806,-2.3441515,1.9043931,-2.2210102,1.3470521,5.572415,0.48958838,7.982856,8.593113,2.9167917,-2.3616397,0.60764915,3.002851,3.1706626,0.9216493,4.1286874,0.62441844,-0.7515479,-0.9182996153831482,11.641845703125,2
2_2_2_2_24_4_m,-0.99915534,2.3433454,-0.53973454,3.5136435,-1.5341145,-0.31961444,0.45665467,-2.2075207,0.8926712,-0.49466443,1.0248237,-0.102814585,0.73919713,-0.6120184,1.1442435,2.007584,0.6544091,1.1353409,-0.10764748603105545,2.061171770095825,2
2_2_2_26_30_2_m,-8.368571,5.522389,-9.814464,1.0537962,3.287989,6.970782,1.5857921,-7.3371744,-1.2052932,-6.522737,0.23155619,-31.799406,17.45122,8.66576,0.22350544,5.6873736,-3.6643255,10.34898,-8.684234619140625,20.26995849609375,2
2_2_2_18_30_3_m,-2.9975173,2.055402,4.5463934,1.4020032,-2.774133,0.55069786,-2.8472261,-19.189392,-0.46914023,-5.671267,4.2765965,-12.625339,3.0946808,-19.383043,0.42532167,2.5394225,-0.6528902,-5.328186,-2.328570604324341,-7.071089744567871,2
2_2_2_26_30_5_m,20.860928,4.9540153,6.7755547,22.31983,17.065113,1.211942,16.73535,-9.203734,10.362746,3.1665606,-1.4862013,19.20768,9.094194,28.770569,12.063509,13.199336,25.435688,13.879458,20.3719539642334,5.258443832397461,2
2_2_2_12_25_5_m,11.5002365,9.05526,5.1322656,-0.4020536,12.077918,-5.316473,13.277034,-2.182934,14.272532,-15.615673,11.768086,10.210795,15.953577,2.182997,17.539465,-0.8462532,11.7492,-0.32912174,14.776845932006836,14.215579986572266,2
2_2_2_2_24_1_m,1.5741589,-9.937093,-0.8247214,-6.375717,0.45299363,0.9643189,-0.3457247,-1.9582624,-0.42340767,-0.18718131,2.2672586,4.8478866,0.651318,3.0873904,-1.2834425,3.3823693,-2.9112823,7.8200994,-1.3059529066085815,-1.1332820653915405,2
2_2_2_12_25_2_m,0.44301587,2.6900635,6.264988,0.8077605,5.2897806,3.089935,-0.16745877,6.577375,-6.7526484,0.52348644,-3.4463086,9.87075,-3.347749,5.80912,0.7378615,11.063406,-4.9059052,12.655282,0.42660319805145264,5.906217575073242,2
2_2_2_2_24_5_m,0.17382474,1.6654156,0.8300957,0.5846026,0.7456554,0.78861374,0.67924213,-0.105123654,0.7308793,1.3253106,0.021740217,1.6333828,1.3477875,1.5936387,0.6318223,1.5215425,0.94798213,2.5603256,1.8028205633163452,0.5215182900428772,2
2_2_1_16_30_5_m,-9.63736,12.6695175,11.262596,21.424719,17.074295,8.213921,13.34962,24.46717,12.222209,3.2406213,19.318832,11.921273,-3.9396162,22.38073,-4.7620935,29.324722,11.81477,4.3933425,6.01955509185791,17.72484016418457,2
2_2_1_16_30_4_m,-7.8977885,-4.1628494,3.2287452,-8.538939,-14.288841,-1.0937599,5.0224047,-5.972885,3.074028,1.9072905,-9.908779,-4.472363,-5.044091,1.8139374,-13.763514,1.542874,-1.2553737,3.291549,-7.54288387298584,-1.077080488204956,2
2_2_2_7_30_5_m,1.1679276,3.1180768,-3.6139088,-7.012438,-0.11272396,-2.3130486,0.6327815,-0.967703,0.5684579,0.8385404,-2.333503,-2.4108477,-0.37619916,-7.0435057,-4.862313,-6.800652,-4.9853697,-5.563381,-2.287290334701538,1.3191537857055664,2
2_2_2_7_30_4_m,-1.8815328,5.140975,-4.584321,4.077149,-1.2661135,-4.4975853,-4.610794,-4.5837555,-0.5213271,2.8019867,-0.81567305,-3.288129,-3.0652568,0.9389865,-3.9326098,3.6973937,-0.030771028,2.3787954,-6.514613628387451,2.519824743270874,2
2_2_2_7_30_3_m,-1.5417175,-5.125253,-8.259222,-9.704845,-0.5051052,-6.908593,-5.659914,-1.6350516,-14.132877,-2.553681,-8.563676,-5.0804973,-0.88211554,-5.0068197,-5.349851,-11.198345,-5.515433,-8.304968,-8.05207633972168,-6.269275188446045,2
2_2_2_3_24_1_m,0.34477037,1.421224,-9.091979,8.442404,9.633136,3.3874362,8.434397,-38.32418,8.399683,-3.7186325,-2.7170007,7.722821,31.129179,38.290752,19.499254,53.60406,11.15711,31.657555,-11.119061470031738,25.36426544189453,2
2_2_1_5_30_3_m,4.149062,17.154316,3.2696002,3.8678472,1.0034684,-28.67716,-7.0641365,12.100409,-16.363617,11.12932,-25.556051,-3.5344977,-18.259085,-23.079716,-22.168901,2.8995035,-17.925394,-4.764243,-5.716163158416748,-16.32968521118164,2
2_1_2_8_30_1_m,-5.122562,-19.350601,-2.1876771,-14.738624,1.385329,-6.064871,5.147312,-2.4984968,8.641709,-2.319,-0.9817541,-4.517442,-1.1850613,-7.882337,-7.576138,-11.74467,-8.560629,-9.856757,0.42806077003479004,-4.166183948516846,2
2_2_1_16_30_2_m,3.260694,-2.3897069,10.6708765,-3.0203223,5.010953,4.873466,2.1311684,1.2538239,4.826069,5.89372,-4.143276,4.2337704,-3.7968214,1.0269377,7.8121257,-5.79395,0.63555264,-9.225629,2.4106945991516113,-13.044174194335938,2
2_2_2_17_30_1_m,-0.40121907,30.971289,-5.3631716,45.878487,-8.247185,42.485497,-13.194711,33.811977,-20.537846,27.938154,-11.352843,23.017788,-16.540977,20.789125,-9.904444,32.695213,-18.400131,33.124046,-35.29486846923828,3.0635735988616943,2
2_2_1_5_30_5_m,13.180358,4.674861,-1.9299266,12.842741,5.175623,17.89657,2.8394554,7.6562524,3.417749,12.628094,-2.9192085,14.712105,18.94583,-22.323135,11.018377,-19.291712,10.22053,5.3666496,13.977263450622559,2.6829028129577637,2
2_2_2_7_30_1_m,0.8462354,-31.290504,-1.2118164,13.6809025,8.316027,4.269291,-1.2312071,25.24136,1.813904,19.250298,-2.5168252,-0.6765728,-2.3365333,-5.407106,1.7327178,19.867804,3.5783563,27.687248,5.037689685821533,31.04991912841797,2
2_2_2_3_24_5_m,-7.421976,10.887709,-0.83768225,14.054831,0.8079496,12.710328,0.5675441,3.2080874,-7.432878,5.787379,-10.051418,2.6405494,-1.5558223,10.500283,-7.336407,8.989184,-7.201966,15.79325,-3.8232202529907227,16.377113342285156,2
2_2_1_5_30_1_m,-6.6387095,22.02099,-1.2548727,-8.154078,7.0257287,9.569928,12.178039,35.923717,13.553886,34.06248,-9.278635,19.185062,22.553782,26.265644,11.227482,3.3526907,3.4859293,6.538336,-0.5212066769599915,24.482952117919922,2
2_2_2_17_30_3_m,-14.662123,2.6897526,-26.537783,16.975496,-11.190606,10.196327,-31.593458,-5.1804543,-31.64244,1.5125366,-14.97788,14.857421,-22.76142,26.862335,-10.822674,32.16441,-22.451702,25.17697,-41.26510238647461,-1.8618125915527344,2
2_1_2_8_30_2_m,10.868952,1.3459469,6.5077167,2.5936353,9.820826,6.4638042,9.172461,-0.25649655,5.1603703,4.415853,21.476013,-4.5488467,9.664179,-1.1819905,0.5863115,-1.8741306,-6.1980524,10.036659,0.6223820447921753,-2.70590877532959,2
2_2_2_18_30_4_m,2.7688615,-8.93147,-6.931364,-11.303349,9.061597,2.9665582,2.564221,-0.13500547,1.642652,0.7035516,2.5062413,-7.9675913,-9.590897,1.1396608,-3.5196817,-10.909978,-11.719176,1.2557162,0.04495507851243019,-8.9525785446167,2
2_2_2_17_30_4_m,-20.444576,9.191456,-5.4615054,4.3860416,-17.61937,-0.22372632,-3.1143174,-12.014904,7.2314873,-4.7186913,12.240961,-0.13311872,-10.5872345,-1.5099547,-7.612035,-3.1636226,-23.4264,4.9128494,-0.7397535443305969,1.3500438928604126,2
2_2_2_3_24_4_m,6.2646337,-19.773851,2.0720785,-5.6859345,-1.1433094,-12.226911,-9.289011,-15.125266,-5.038725,-13.104595,5.0705814,-7.93389,-9.28187,-6.363888,-1.1396246,12.483712,-5.596938,-15.461173,-5.839380741119385,5.397968769073486,2
2_2_2_17_30_2_m,9.097922,0.77764696,7.433463,12.667413,-3.214662,16.55761,0.37714246,7.845594,-14.920331,2.133135,-6.251617,-9.816612,1.8814256,14.696283,-1.2703811,19.38206,5.4277773,16.180199,-0.047788724303245544,13.526941299438477,2
2_2_1_16_30_3_m,7.1757774,16.777067,5.906107,19.447407,5.8815317,14.194232,5.0504255,14.268047,4.065313,8.898857,-0.8415485,3.5775146,11.443606,8.776686,2.0953872,10.256459,-2.9086704,-8.187429,4.116504192352295,4.283712863922119,2
2_2_1_5_30_2_m,-7.041983,10.538561,-12.078916,12.479784,-7.713105,18.066357,-6.6302233,21.469673,-24.920246,-9.435475,-11.607085,-6.247311,-19.907112,-3.0805461,2.9212966,-5.5972023,6.990425,22.096598,-21.236774444580078,14.918585777282715,2
2_1_2_8_30_3_m,-8.267784,-9.723061,1.5774106,-1.837148,-0.27164003,-0.96884006,0.030213917,-0.45789137,8.084358,-7.288751,-1.5483762,-4.623151,2.9227355,-7.430129,-4.138642,-5.246122,-12.715851,-4.637792,2.822775363922119,-10.247071266174316,2
